Name;Version;Type;Filename;URL;Description
Foundation;3.0.5;css;/css/foundation-3.0.5/*;http://foundation.zurb.com/;An advanced, responsive front-end framework.
Twitter Bootstrap;2.3.0;css;/css/bootstrap/*;http://twitter.github.com/bootstrap/;Twitter bootstrap with support for responsive design
1920.gs;0.1;css;/css/1920.gs/*;;A fluid and extremely minimal css grid
Mainframe CSS;0.3.1.dev;css;/css/mainframe.css/*;https://github.com/bibakis/Mainframe-CSS;The mainframe CSS framework
HTML5 boilerplate CSS;3.0;css;/css/html5boilerplate30.css;http://html5boilerplate.com/;The CSS included in HTML5 boilerplate (when you just need a modern CSS reset)
jQuery mobile;1.0;js;/js/jquery.mobile-1.0.min.js;http://jquerymobile.com/;jQuery mobile
jQuery;1.7;js;/js/jquery-1.7.min.js;http://jquery.com/;jQuery
jQuery UI;1.8.21;js;/js/jquery-ui-1.8.21.custom.min.js;http://jqueryui.com/home;jQuery UI provides abstractions for low-level interaction and animation, advanced effects and high-level, themeable widgets
LESS;1.2.1;js;/js/less-1.2.1.min.js;http://lesscss.org/;LESS extends CSS with dynamic behavior such as variables, mixins, operations and functions
jQuery URL Parser;2.0;js;/js/jquery.url.js;https://github.com/allmarkedup/jQuery-URL-Parser;jQuery plugin for parsing URLs and extracting information out of them
Touch Punch;0.2.2;js;/js/jquery.ui.touch-punch.min.js;http://touchpunch.furf.com/;jQuery UI Touch Punch is a small hack that enables the use of touch events on sites using the jQuery UI user interface library
CodeIgniter;2.1.0;php;/codeigniter/*;http://codeigniter.com/;The CodeIgniter PHP framework
lessphp;0.3.2;php;/php/lessc.inc.php;http://leafo.net/lessphp/;LESS css compiler for php, adapted from http://lesscss.org
YUI CSS compressor;91c5ea5;php;/php/cssmin.php;https://github.com/tubalmartin/YUI-CSS-compressor-PHP-port;PHP port of the Javascript port of the CSS minification tool distributed with YUICompressor
JSMin.php;1.1.1;php;/php/JSMin.php;https://github.com/rgrove/jsmin-php/;Javascript minifier by Douglas Crockford, ported to PHP by Ryan Grove
